*Generic
Reference Type	Author	Year	Title	Secondary Title	Place Published	Pages	Number	Publisher	Volume	Secondary Author	Custom 1
Journal	Birre H, Ayele T, Tedla S, Abebe F	1993	Transmission of Schistosoma mansoni in three ecological settings in Ethiopia. I. Epidemiological aspects	The Ethiopian Journal of Health Development		63-69	2		7		ETH0012
Journal	Birrie H	1986	Survey of schistosomiasis mansoni in the Borkena river basin, Ethiopia.	Ethiopian Medical Journal		159-167	4		24		ETH0014
Journal	Birrie H, B. E, S. T	1994	Intestinal helminth infections in the southern Rift Valley of Ethiopia with special reference to schistosomiasis.	East African Medical Journal		447-452	7		71		ETH0015
Journal	Birrie H, T. W, A. R, T. C	1994	The status of Schistosoma mansoni and snail hosts in Tigray and northern Wello regions, northern Ethiopia.	Ethiopian Medical Journal		245-254	4		32		ETH0016
Journal	Birrie H, Tedla S, Erko B, Berehe N, Abebe F	1993	Schistosomiasis in the Finchaa River Valley, Wellega Region, Western Ethiopia	Ethiopian Journal of Health Development		9-15	1		7		ETH0017
Journal	Birrie H, G. M, L. J	1995	Comparison of urine filtration and a chemical reagent strip in the diagnosis of urinary schistosomiasis in Ethiopia.	East African Medical Journal		180-185	3		72		ETH0018
Journal	Birrie H, F. A, S.G. G, G. M, N. B, T. G	1998	Epidemiology of schistosomiasis mansoni in three endemic communities in north-east Ethiopia: baseline characteristics before endod based intervention.	Ethiopian Medical Journal		101-111	2		36		ETH0019
Journal	Birrie H, Balcha F, Abebe F	1998	Intestinal Parasitoses among under-fives in two communites in Ethiopia	Ethip JHealth Dev		69-73	1		12		ETH0020
Journal	Birrie H, G. M, B. E, G. B, T. G	1997	Intestinal helminthic infections among the current residents of the future Fincha sugar plantation area. Western Ethiopia.	The Ethiopian Journal of Health Development		219-228	3		11		ETH0021
Journal	Birrie H, Erko  B, Medhin G, Balcha F	1996	Decline of urinary schistosomiasis in Kurmuk town,Western Ethio-Sudanese border,Ethiopia	EthiopMed J		47-49	1		34		ETH0022
Journal	Dagnew M, Wondwossen H, Tesfaye W, Kidane EG, Yerfu S, Tariku A, Demissie T	1993	Intensity of intestinal parasite infestation in a small farming village, near Lake Tana, Ethiopia	Ethiopian Journal of Health Development		27-31	1		7		ETH0023
Journal	Dagnew M	1996	Prevalence and intensity of S. mansoni infection along the shores of Lake Tana, Ethiopia.	East African Medical Journal		801-804	12		73		ETH0024
Journal	Davey G, Venn A, Belete H, Berhane Y, Britton J	2005	Wheeze, allergic sensitization and geohelminth infection in Butajira, Ethiopia.	Clinical and experimental allergy: journal of the British Society for Allergy and Clinical Immunology		301-307	3		35		ETH0025
Journal	Erko B, Tedla S	1993	The incidence of schistosomiasis in Bahir-Dar, Ethiopia	Ethiopian Journal of Health Development		17-20	1		7		ETH0027
Journal	Erko B, Gebre-Michael T, Balcha F, Gundersen SG	2001	Implication of Papio anubis in the transmission of intestinal schistosomiasis in three new foci in Kime area, Ethiopia.	Parasitology International		259-266	4		50		ETH0028
Journal	Erko B, S. T	1993	Intestinal helminth infections at Zeghie, Ethiopia with emphasis on schistosomiasis mansoni.	Ethiopian Journal of Health Development		21-26	1		7		ETH0029
Journal	Erko B, Medhin G	2003	Human helminthiasis in Wondo Genet, southern Ethiopia, with emphasis on geohelminthiasis.	Ethiopian Medical Journal		333-344	4		41		ETH0030
Journal	Erko B, Gemechu T, Medhin G, Birrie H	1997	Reinfection of school children with schistosoma mansoni in the Fincha valley, western Ethiopia. 	The Ethiopian Journal of Health Development		269-273	3		11		ETH0031
Journal	Erko B, Gemetchu T, Gemeda N, Dessie S	1996	Transmission of intestinal schistosomiasis in Addis Ababa, Ethiopia.	East African Medical Journal		732-734	11		73		ETH0032
Journal	Erko B, Tedla S, Petros B	1991	Transmission of intestinal schistosomiasis in Bahir Dar, northwest Ethiopia.	Ethiopian Medical Journal		199-211	4		29		ETH0033
Journal	Erko B, Tedla S	1993	A preliminary survey for intestinal parasites in the Tis Abay town, northwest Ethiopia, with special references to Schistosoma mansoni.	East African Medical Journal		34-36	1		70		ETH0034
Journal	Eshete H	1987	Schistosoma mansoni infections in the Anuak ethnic group, western Ethiopia.	Ethiopian Medical Journal		195-198	4		25		ETH0035
Journal	Fontanet AL, Woldemichael T, Sahlu T, van Dam GJ, Messele T, Rinke de Wit T, Masho W, Yeneneh H, Coutinho RA, van Lieshout L	2000	Epidemiology of HIV and Schistosoma mansoni infections among sugar-estate residents in Ethiopia.	Annals of Tropical Medicine and Parasitology		145-155	2		94		ETH0036
Journal	Gundersen SG, Birrie H	1988	Schistosoma mansoni and other intestinal parasites in the Blue Nile Valley of Western Ethiopia.	Ethiopian Medical Journal		157-165	4		26		ETH0037
Journal	Haile-Meskal F, Woldemichael T, Lakew M	1985	Endemicity of urinary schistosomiasis in Enta-doyta village, Gewane flood-plain, eastern Ethiopia.	Ethiopian Medical Journal		107-115	3		23		ETH0038
Journal	Hall A, Kassa T, Demissie T, Degefie T, Lee S	2008	National survey of the health and nutrition of schoolchildren in Ethiopia	Trop Med Int Health		1518-1526	12		13		ETH0040
Journal	Jemaneh L, Tedla S	1984	The distribution of necator americanus and ancylostoma duodenale in school populations,Gojam and Gondar adminstrative regions	EthiopMed J		87-92	2		22		ETH0052
Journal	Jemaneh L	1993	Comparison of immunodiagnosis (ELISA) and stool examination (Kato technique) in the diagnosis of Schistosoma mansoni in Ethiopia.	Ethiopian Medical Journal		37-49	1		31		ETH0053
Journal	Jemaneh L, Tedla S, Birrie H	1994	The use of reagent strips for detection of urinary schistosomiasis infection in the middle Awash Valley, Ethiopia.	East African Medical Journal		679-683	10		71		ETH0054
Journal	Jemaneh L	1997	Intestinal helminth infections in school children in Aderkay woreda (district), north west Ethiopia, with special reference to schistosomiasis mansoni. 	The Ethiopian Journal of Health Development		289-294	3		11		ETH0056
Journal	Jemaneh L	1998	Schistosomiasis mansoni and geohelminthiasis in school children in the Dembia plains, Northwest Ethiopia	Ethip JHealth Dev		237-244	3		12		ETH0057
Journal	Jemaneh L	1999	Intestinal helminth infections in schoolchildren in Gonder town and sorrounding areas,Northwest Ethiopia	Ethiop J Sci		209-220	2		22		ETH0058
Journal	Jemaneh L	2000	The epidemiology of schistosomiasis mansoni and soil-transmitted helminths in elementary school children from the South Gondar Zone of the Amhara National Regional State, Ethiopia.	Ethiopian Medical Journal		105-118	2		38		ETH0059
Journal	Jemaneh L	2000	Major intestinal helminth infections in the Anuak population of four rural villages in Southwestern Ethiopia	Ethiop J Health Sci			1		10		ETH0060
Journal	Jemaneh L	2001	Soil-Transmitted Helminth Infections and Schistosomiasis mansoni in school children from Chilga District,Northwest Ethiopia	Ethiop J Health Sci			2		11		ETH0061
Journal	Kloos H, Bedri A, Addus A	1991	Intestinal parasitism in three resettlement farms in Western Ethiopia. 	The Ethiopian Journal of Health Development		51-56	2		5		ETH0062
Journal	Legesse M, Erko B	2004	Prevalence of intestinal parasites among schoolchildren in a rural area close to the southeast of Lake Langano, Ethiopia	The Ethiopian Journal of Health Development		116-120	2		18		ETH0063
Journal	Legesse W, Gebre-Selassie S	2007	Sanitary survey of residential areas using Ascaris lumbricoides ova as indicators of environmental hygiene, Jimma, Ethiopia	The Ethiopian Journal of Health Development		18-24	1		21		ETH0064
Journal	Lo CT, Ayele T, Birrie H	1989	Helminth and snail survey in Harerge region of Ethiopia with special reference to schistosomiasis.	Ethiopian Medical Journal		73-83	2		27		ETH0065
Journal	Lo CT, Birrie H, Ayele T, Desta B	1989	Schistosomiasis in the Gumara and Ribb irrigation project area, Ethiopia.	Ethiopian Medical Journal		47-53	2		27		ETH0066
Journal	Mamo B, Assefa B, Lo CT	1989	Intestinal helminths in Akaki town, with special emphasis on the epidemiology of Schistosoma mansoni.	Ethiopian Medical Journal		183-191	4		27		ETH0067
Journal	Mengistu A, Gebre-Salassie S, Kassa T	2007	Prevalence of intestinal parasitic infections among urban dwellers in southwest Ethiopia	The Ethiopian Journal of Health Development		12-17	1		21		ETH0068
Journal	Roma B, Worku S	1997	Magnitude of Schistosoma mansoni and intestinal helminthic infections among school children in Wondo-Genet Zuria, Southern Ethiopia	The Ethiopian Journal of Health Development		125-129	2		11		ETH0070
Journal	Shewakena F, Kloos H, Abebe F, Birrie H	1995	Schistosoma mansoni infection in Jiga town, Gojam administrative region.	Ethiopian Journal of Health Development		1-6	1		9		ETH0071
Journal	Simonsen PE, Nega A, Furu P	1990	Intestinal schistosomiasis among children in a labour village of Wonji Sugar Estate, Ethiopia.	East African Medical Journal		532-538	8		67		ETH0072
Journal	Tadesse G	2005	The prevalence of intestinal helminthic infections and associated risk factors among school children in Babile town, eastern Ethiopia	The Ethiopian Journal of Health Development		140-147	2		19		ETH0073
Journal	Tedla S	1987	Schistosoma mansoni in a highland Ethiopian community	Helminthologia		217-226	3		24		ETH0074
Journal	Tedla S, Jemaneh L, Maru M	1988	Ascariasis in school children: epidemiological studies in Ethiopia.	East African Medical Journal		793-797	11		65		ETH0075
Journal	Tiruneh M, Fantahun M, Kassu A, Tiruneh G, Van Lieshout L, Polderman AM	2001	Schistosomiasis mansoni in school attenders and non-attenders in Northwest Ethiopia	Ethip JHealth Dev		117-123	2		15		ETH0076
Journal	Wondimagegnehu  T, Birrie H, Yeneneh H	1997	Schistosomiasis and intestinal helminthic infections in Delo Awraja, Bale administrative region south Ethiopia	The Ethiopian Journal of Health Development		183-188	3		11		ETH0077
Journal	Woldemichael T, Kebede A	1996	Newly identified endemic areas of schistosomiasis mansoni in Tigray,Northern Ethiopia	EthiopMed J		73-82	2		34		ETH0078
Journal	Woldemichael T, Endeshaw T, Shibre T, Gebre T, Haddis M, Tilahun D, Gebreyesus L, Dereje S	1999	Intestinal parasitic infections in Western Abaya with special reference to Schistosomiasis mansoni	The Ethiopian Journal of Health Development		21-26	1		13		ETH0079
Journal	Woldemichael T, Assefa T, Seyoum T	1990	Intestinal parasitism among the student population of the Wonji-Shoa sugar estate	Ethiop J Health dev		45-49	1		4		ETH0080
Journal	Yeneneh H, Abebe F, Birrie H, Ayele T	1996	Praziquantel in the control of Schistosoma mansoni infection in Jiga, Northwestern Ethiopia	The Ethiopian Journal of Health Development		105-110	2		10		ETH0081
Journal	Zein ZA	1989	Spontaneous reduction in Schistosoma mansoni infection in endemic communities of the lake Tana basin, north-western Ethiopia.	Transactions of the Royal Society of Tropical Medicine and Hygiene		656-658	5		83		ETH0082
Journal	Fletcher M, Teklehaimanot A	1989	Schistosoma mansoni infection in a new settlement in Metekel district, north-western Ethiopia: morbidity and side effects of treatment with praziquantel in relation to intensity of infection.	Transactions of the Royal Society of Tropical Medicine and Hygiene		793-797	6		83		ETH0083
Journal	Wondimagegnehu T, Woldemichael T, Assefa T	1992	Hookworm infection among the Melka Sedi banana plantation residents, middle Awash Valley, Ethiopia.	Ethiopian Medical Journal		129-134	3		30		ETH0084
Journal	de Carneri I, Di Matteo L, Tedla S	1992	A comparison of helminth infections in urban and rural areas of Addis Ababa	Trans R Soc Trop Med Hyg		540-541	5		86		ETH0085
Journal	Ayele T, Tesfa-Yohannes TM	1987	The epidemiology of Schistosoma mansoni around Lake Zway and its islands, Ethiopia	Ethiop Med J		133-140	3		25		ETH0086
Journal	Tesfa-Yohannes TM, Ayele TM	1983	Intestinal helminthic infections in Lake Zway Islands, Central Ethiopia	Ethiop Med J		149-153	3		21		ETH0087
Journal	Degu G, Mengistu G, Jones J	2002	Some factors affecting prevalence of and immune responses to Schistosoma mansoni in schoolchildren in Gorgora, northwest Ethiopia	Ethiop Med J		345-352	4		40		ETH0088
Journal	Legesse M, Erko B	2008	Field-based evaluation of a reagent strip test for diagnosis of schistosomiasis mansoni by detecting circulating cathodic antigen (CCA) in urine in low endemic area in Ethiopia	Parasite		151-155	2		15		ETH0089
Journal	Taticheff S, Melamed MD	1983	Evaluation of ELISA - with S. mansoni egg antigen - in the sero-diagnosis of schistosomiasis	Ethiop Med J		27-33	1		21		ETH0090
Journal	Asfaw Z, Wolde-Michael T, Wondimagegnehu T	1988	Assessment of side-effects of praziquantel in a trial treatment of Schistosoma haematobium infections in the Afar ethnic group of Ethiopia	Ethiop Med J		85-89	2		26		ETH0091
Journal	Dagoye D, Bekele Z, Woldemichael K, Nida H, Yimam M, Hall A, Venn AJ, Britton JR, Hubbard R, Lewis SA	2003	Wheezing, allergy, and parasite infection in children in urban and rural Ethiopia.	American Journal of Respiratory and Critical Care Medicine		1369-1373	10		167		ETH0093
Journal	Erosie L, Merid Y, Ashiko A, Ayine M, Balihu A, Muzeyin S, Teklemariam S, Sorsa S	2002	Prevalence of Hookworm infection and hemoglobin status among rural elementary school children in Southern Ethiopia	Ethip JHealth Dev		113-115	1		16		ETH0094
Journal	Ghebreyesus TA, Witten KH, Getachew A, Haile M, Yohannes M, Lindsay SW, Byass P	2002	Schistosome transmission, water-resource development and altitude in northern Ethiopia.	Annals of Tropical Medicine and Parasitology		489-495	5		96		ETH0096
Journal	Haileamlak A, Dagoye D, Williams H, Venn AJ, Hubbard R, Britton J, Lewis SA	2005	Early life risk factors for atopic dermatitis in Ethiopian children	J Allergy Clin Immunol		370-376	2		115		ETH0097
Journal	Legesse M, Erko B, Medhin G	2004	Comparative efficacy of albendazole and three brands of mebendazole in the treatment of ascariasis and trichuriasis.	East African Medical Journal		134-138	3		81		ETH0101
Journal	Ayele B	1985	Schistosoma mansoni prevalence in the Bahir Dar community, Gojam, Ehtiopia	Unpublised abstract contributed by author							ETH0106
Journal	Berhe N, Myrvang B, Gundersen SG	2009	Gastro-intestinal symptoms associated with intense Schistosoma mansoni infection affect class-attentiveness of schoolchildren in Ethiopia	Acta Trop		52-56	1		110		ETH0107
Journal	Alemu A, Atnafu A, Addis Z, Shiferaw Y, Teklu T, Mathewos B, Birhan W, Gebretsadik S, Gelaw B	2011	Soil transmitted helminths and schistosoma mansoni infections among school children in Zarima town, northwest Ethiopia	BMC Infect Dis		189			11		ETH0112
Journal	Amare B, Moges B, Fantahun B, Tafess K, Woldeyohannes D, Yismaw G, Ayane T, Yabutani T, Mulu A, Ota F, Kassu A	2012	Micronutrient levels and nutritional status of school children living in Northwest Ethiopia	Nutr J		108	1		11		ETH0113
Journal	Erko  B, Degarege A, Tadesse K, Mathiwos A, Legesse M	2012	Efficacy and side effects of praziquantel in the treatment of Schistosomiasis mansoni in schoolchildren in Shesha Kekele Elementary School, Wondo Genet, Southern Ethiopia	Asian Pacific Journal of Tropical Biomedicine		235-239					ETH0114
Journal	Habtamu K, Degarege A, Ye-Ebiyo Y, Erko B	2011	Comparison of the Kato-Katz and FLOTAC techniques for the diagnosis of soil-transmitted helminth infections	Parasitol Int		398-402	4		60		ETH0115
Journal	Mulugeta M, Tecja;ew S, Workneh T, Ashenafi T, Tesfaye K, Asrat H	2011	Human Intestinal Schistosomiasis in Communities living near three Rivers of Jimma Town, South Western Ethiopia	Ethiopian Journal of Health Sciences		111-118	2		21		ETH0116
Journal	Nguyen NL, Gelaye B, Aboset N, Kumie A, Williams MA, Berhane Y	2012	Intestinal parasitic infection and nutritional status among school children in Angolela, Ethiopia	J Prev Med Hyg		157-164	3		53		ETH0117
Journal	Amare B, Ali J, Moges B, Yismaw G, Belyhun Y, Gebretsadik S, Woldeyohannes D, Tafess K, Abate E, Endris M, et al	2013	Nutritional status, intestinal parasite infection and allergy among school children in Northwest Ethiopia	BMC Pediatr		7			13		ETH0118
Journal	Wegayehu T, Tsalla T, Seifu B, Teklu T	2013	Prevalence of intestinal parasitic infections among highland and lowland dwellers in Gamo area, South Ethiopia	BMC Public Health		151	1		13		ETH0119
Journal	Deribew K, Tekeste Z, Petros B, Huat LB	2013	Urinary schistosomiasis and malaria associated anemia in Ethiopia	Asian Pac J Trop Biomed		307-310	4		3		ETH0120
Journal	Degarege A, Erko B	2013	Association between intestinal helminth infections and underweight among school children in Tikur Wuha Elementary School, Northwestern Ethiopia	J Infect Public Health		125-133	2		6		ETH0121
Journal	Gelaw A, Anagaw B, Nigussie B, Silesh B, Yirga A, Alem M, Endris M, Gelaw B	2013	Prevalence of intestinal parasitic infections and risk factors among schoolchildren at the University of Gondar Community School, Northwest Ethiopia: a cross-sectional study	BMC Public Health		304			13		ETH0122
